pjX｜想定する受講者のタイプ（現時点の仮説）						
						
タイプ	前職のカテゴリ	動機（市場価値・独立など）	技術の出発点	ビジネス・コンサルの素地	L0（基礎の日本語力）の出発点	特徴・ポイント
A	異業種・非エンジニア職 （営業／販売／接客／事務 など）	手に職をつけて市場価値を上げたい。いずれ独立したい	ゼロ	社会人経験はあるが、体系立った素地はなし（顧客対応の経験がある人もいる）	会話はできるが、正確に伝わる日本語の水準には未到達（職種による差が大きい）	技術をゼロから積むので学習時間は最も長い。動機が強く、伸びしろは大きい。
B	プログラミングをかじった、 実務が浅い／未経験のエンジニア志望	自己流から抜け出して案件で通用したい。フリーランスとして独立したい	入り口に触れた程度（まだ実務の水準ではない）	ほぼなし	会話はできるが、正確に伝わる日本語の水準には未到達	技術もビジネスも一から整える必要がある。独立への意欲が原動力。
C	一般的なビジネス職 （事務／営業／企画 など。専門スキルはなし）	このままでは市場価値が頭打ち。AI時代に通用する武器が欲しい。独立も視野	ゼロ〜独学で少し	社会人の基本（メール・マナーなど）はあるが、上流・コンサルの力はこれから	社会人経験があっても、正確に伝わる日本語の水準には届いていないことが多い	社会人の基礎はあるが「武器」がない。動機を入口に、上流の力を伸ばすタイプ。
						
共通前提	A・B・Cに共通する入口は「市場価値を上げたい・独立したい」という前向きな動機。スキルの出発点は高く見積もらず、L0（基礎の日本語力）は全員共通のスタート地点とする。タイプの違いは前職と、L0より上の積み上げ方に出る。入学時のテストで一人ひとりの不足分を測り、学習時間の積み上げに使う。					
